Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj
0,"runkernel_0$ck_L50_1.kd",0,0,0,20174,20174,13056,256,512,0,48,120,20288,0x0,0x7f014d8bec80
1,"runkernel_0$ck_L92_4.kd",0,0,2,20174,20174,20224,256,0,0,16,104,0,0x0,0x7f014d8becc0
2,"runkernel_0$ck_L50_1.kd",0,0,4,20174,20174,13056,256,512,0,48,120,20288,0x0,0x7f014d8bec80
3,"runkernel_0$ck_L92_4.kd",0,0,6,20174,20174,20224,256,0,0,16,104,0,0x0,0x7f014d8becc0
4,"runkernel_0$ck_L50_1.kd",0,0,8,20174,20174,13056,256,512,0,48,120,20288,0x0,0x7f014d8bec80
5,"runkernel_0$ck_L92_4.kd",0,0,10,20174,20174,20224,256,0,0,16,104,0,0x0,0x7f014d8becc0
6,"runkernel_0$ck_L50_1.kd",0,0,12,20174,20174,13056,256,512,0,48,120,20288,0x0,0x7f014d8bec80
7,"runkernel_0$ck_L92_4.kd",0,0,14,20174,20174,20224,256,0,0,16,104,0,0x0,0x7f014d8becc0
8,"runkernel_0$ck_L50_1.kd",0,0,16,20174,20174,13056,256,512,0,48,120,20288,0x0,0x7f014d8bec80
9,"runkernel_0$ck_L92_4.kd",0,0,18,20174,20174,20224,256,0,0,16,104,0,0x0,0x7f014d8becc0
10,"runkernel_0$ck_L50_1.kd",0,0,20,20174,20174,13056,256,512,0,48,120,20288,0x0,0x7f014d8bec80
11,"runkernel_0$ck_L92_4.kd",0,0,22,20174,20174,20224,256,0,0,16,104,0,0x0,0x7f014d8becc0
12,"runkernel_0$ck_L50_1.kd",0,0,24,20174,20174,13056,256,512,0,48,120,20288,0x0,0x7f014d8bec80
13,"runkernel_0$ck_L92_4.kd",0,0,26,20174,20174,20224,256,0,0,16,104,0,0x0,0x7f014d8becc0
14,"runkernel_0$ck_L50_1.kd",0,0,28,20174,20174,13056,256,512,0,48,120,20288,0x0,0x7f014d8bec80
